run_id,repository_id,target_id,model_id,status,started_at_utc,completed_at_utc,result_path
qwen25coder32b-run-001,ini-cpp,ini-cpp-iniwriter-write,qwen2.5-coder:32b,passed,2026-07-29T13:32:32.625264+00:00,2026-07-29T13:59:21.857579+00:00,experiments/ini-writer-minimal/evaluation/evaluation_manifest.json
echo-web-server-io-qwen25coder32b-002,Echo-Web-Server,echo-web-server-io,qwen2.5-coder:32b,failed,2026-07-29T15:10:23.430084+00:00,2026-07-29T15:11:19.221414+00:00,experiments/echo-web-server-io-roundtrip-002/evaluation/evaluation_manifest.json
echo-web-server-ip-qwen25coder32b-001,Echo-Web-Server,echo-web-server-ip,qwen2.5-coder:32b,passed,2026-08-01T05:00:57.705187+00:00,2026-08-01T05:02:14.728702+00:00,experiments/echo-web-server-ip-roundtrip-001/evaluation/evaluation_manifest.json
echo-web-server-config-qwen25coder32b-002,Echo-Web-Server,echo-web-server-config,qwen2.5-coder:32b,failed,2026-08-01T05:41:21.694236+00:00,2026-08-01T05:46:55.842227+00:00,experiments/echo-web-server-config-roundtrip-002/evaluation/evaluation_manifest.json
echo-web-server-block-deque-qwen25coder32b-001,Echo-Web-Server,echo-web-server-block-deque,qwen2.5-coder:32b,failed,2026-08-01T08:20:14.873105+00:00,2026-08-02T00:00:19.704784+00:00,experiments/echo-web-server-block-deque-roundtrip-001/evaluation/evaluation_manifest.json
echo-web-server-buffer-qwen25coder32b-001,Echo-Web-Server,echo-web-server-buffer,qwen2.5-coder:32b,failed,2026-08-02T01:52:49.321720+00:00,2026-08-02T01:55:35.587016+00:00,experiments/echo-web-server-buffer-roundtrip/evaluation/evaluation_manifest.json
echo-web-server-heap-timer-qwen25coder32b-001,Echo-Web-Server,echo-web-server-heap-timer,qwen2.5-coder:32b,failed,2026-08-02T02:44:31.628047+00:00,2026-08-02T02:47:30.459295+00:00,experiments/echo-web-server-heap-timer-roundtrip/evaluation/evaluation_manifest.json
echo-web-server-http-qwen25coder32b-001,Echo-Web-Server,echo-web-server-http,qwen2.5-coder:32b,failed,2026-08-02T03:07:09.784811+00:00,2026-08-02T03:12:52.812870+00:00,experiments/echo-web-server-http-roundtrip/evaluation/evaluation_manifest.json
echo-web-server-thread-pool-qwen25coder32b-001,Echo-Web-Server,echo-web-server-thread-pool,qwen2.5-coder:32b,failed,2026-08-02T05:38:54.964843+00:00,2026-08-02T05:40:07.627992+00:00,experiments/echo-web-server-thread-pool-roundtrip/evaluation/evaluation_manifest.json
