group_id,repository_id,repository_path,repository_commit,target_count,target_pairs,docker_image,docker_image_id_expected,docker_image_id_actual,docker_image_id_match,configure_pass,build_pass,full_test_pass,full_test_expected,full_test_ran,full_test_passed,full_test_failed,tracked_clean_before,tracked_clean_after,source_hashes_unchanged,overall_pass
g01-b2dd1495c003,Echo-Web-Server,repos/Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,10,"echo-web-server-block-deque,echo-web-server-buffer,echo-web-server-config,echo-web-server-heap-timer,echo-web-server-http,echo-web-server-io,echo-web-server-ip,echo-web-server-log,echo-web-server-thread-pool,echo-web-server-util",cpp-roundtrip-env:echo-web-server-v2,sha256:f4983b70f6c2400cec7c8869810a8ec3e87f6966e2cc86e09598bdbbc4773c5c,sha256:f4983b70f6c2400cec7c8869810a8ec3e87f6966e2cc86e09598bdbbc4773c5c,True,True,True,True,63,63,63,0,True,True,True,True
g02-6947206b5680,ini-cpp,repos/ini-cpp,e1779b837274de8be2051bef579c3b9ec3483522,2,"ini-cpp-inireader,ini-cpp-iniwriter",cpp-roundtrip-env:ini-cpp-v2,sha256:68500729fc7fc0ba42377dc0737dea8bc2930d2be6e0d20b307490713c97c802,sha256:68500729fc7fc0ba42377dc0737dea8bc2930d2be6e0d20b307490713c97c802,True,True,True,True,27,27,27,0,True,True,True,True
g03-8ae9f75acde3,RISCV-Simulator,repos/RISCV-Simulator,8989a09c357a69b68612f653380d60816f5176c2,5,"riscv-simulator-instruction,riscv-simulator-memory,riscv-simulator-parser,riscv-simulator-register,riscv-simulator-registerfile",cpp-roundtrip-env:riscv-simulator-v1,sha256:81e23cc94a387697d7979c847d81bf557543fece913065fbdbd329bf194f62cd,sha256:81e23cc94a387697d7979c847d81bf557543fece913065fbdbd329bf194f62cd,True,True,True,True,18,18,18,0,True,True,True,True
