dimension,group,total,passed,failed,pass_rate,wilson_95_low,wilson_95_high
repository,Echo-Web-Server,10,1,9,0.1,0.017876213095072896,0.4041500267952385
repository,RISCV-Simulator,5,4,1,0.8,0.37553462976252533,0.9637758913675698
repository,ini-cpp,2,1,1,0.5,0.09453120573423074,0.9054687942657693
granularity,class_span,5,4,1,0.8,0.37553462976252533,0.9637758913675698
granularity,function,1,1,0,1.0,0.20654931437723745,1.0
granularity,module_files,11,1,10,0.09090909090909091,0.016232172885884855,0.37735843645159567
